GCAM_region_ID,Land_Type,GLU,soil_c,veg_c,mature age
10,Shrubland,GLU052,2.009872513,0.95548382,49.86434835
10,Shrubland,GLU056,16.19743781,1.069297904,50
10,Shrubland,GLU058,4.540478096,0.896183532,45.49504778
10,Shrubland,GLU068,9.15823565,1.009308163,50
10,Shrubland,GLU070,0,0,35
10,Shrubland,GLU072,7.240200872,0.479721723,50
10,Shrubland,GLU076,7.916237277,1.420425199,40.12881584
10,Shrubland,GLU085,13,0.6,50
10,Tundra,GLU042,22.03379193,3.724648264,50
10,Tundra,GLU045,22.83030535,4.026040618,50
10,Tundra,GLU048,21,4.417415402,50
10,Tundra,GLU052,22,0.9,50
10,Tundra,GLU056,18.4513443,2.34571817,50
10,Tundra,GLU058,16.98929628,0.423919812,50
10,Tundra,GLU068,16,7.065474736,50
10,Tundra,GLU070,20,2.8,50
10,Tundra,GLU072,15.710785,1.480385829,50
10,Tundra,GLU076,15.85318196,2.521148114,50
10,Tundra,GLU085,15.91811875,0.874523514,50
11,Forest,GLU037,15.97797165,6.891617555,50
11,Forest,GLU042,13.85758956,5.608000816,50
11,Forest,GLU043,17.29925435,6.630887501,50
11,Forest,GLU056,22,8.307129317,50
11,Forest,GLU066,11.65693114,3.937550705,50
11,Forest,GLU068,16.26482853,7.307519654,50
11,Forest,GLU077,9.87497317,2.304518317,50
11,Forest,GLU078,8.963530135,4.766977881,49.54888361
11,Forest,GLU079,9.029437838,3.954525395,50
11,Forest,GLU085,0,0,35
11,Forest,GLU106,10.18407892,4.976451467,49.57159899
11,Forest,GLU108,9.559980282,5.513767494,46.82761771
11,Forest,GLU109,9.875602448,8.133040383,39.96745313
11,Forest,GLU110,21.86091547,9.155417473,43.63640552
11,Forest,GLU112,8.993567501,5.390199932,40.23653693
11,Forest,GLU124,8.471635398,7.367418457,37.46928772
11,Forest,GLU125,10.05693443,9.022009884,39.57538329
11,Forest,GLU127,11.69517603,10.18348875,39.04589982
11,Forest,GLU137,13.20837986,11.98141838,38.95810071
11,Grassland,GLU037,12.9828169,2.091604459,10.08161974
11,Grassland,GLU042,8,0.6,10
11,Grassland,GLU043,14.98999815,2.098999815,10.19003511
11,Grassland,GLU056,20.99600603,0.925448789,10.07588546
11,Grassland,GLU058,0,0,35
11,Grassland,GLU066,7.996805813,0.804734732,10.06068956
11,Grassland,GLU068,12.95240906,2.08968863,10.15070464
11,Grassland,GLU077,7,0.891459085,10
11,Grassland,GLU078,9.996266828,3.300353832,10.03546514
11,Grassland,GLU079,11,1,10
11,Grassland,GLU085,8.998363949,0.941344424,10.00777124
11,Grassland,GLU089,10,0.9,10
11,Grassland,GLU092,7,0.9,10
11,Grassland,GLU106,12.96340455,2.99846812,10.17382839
11,Grassland,GLU108,10.96393067,4.568229145,10.34265864
11,Grassland,GLU109,10,5.922954302,10.87226347
11,Grassland,GLU110,18,1.2,10
11,Grassland,GLU112,9.203161725,2.302649259,10.9650182
11,Grassland,GLU124,8.887755224,6.292347165,11.06632537
11,Grassland,GLU125,14.96590516,2.811406956,10.21593396
11,Grassland,GLU127,14.90954823,3.42146318,10.34371672
11,Grassland,GLU137,21,6.054933867,10
11,RockIceDesert,GLU042,2.000369564,0.199988629,50
11,RockIceDesert,GLU056,7.137093148,0.181720914,50
11,RockIceDesert,GLU058,8.5,0,50
11,RockIceDesert,GLU066,11,0.3,50
11,RockIceDesert,GLU068,16.25613806,0.408217792,50
11,RockIceDesert,GLU077,15,0.2,50
11,RockIceDesert,GLU078,13,0.1,50
11,RockIceDesert,GLU079,4.031562802,0.198597209,50
